Institution,Address,Country 
3DInteractive,"Am Vogelherd 10, 98693 Ilmenau, Germany",Germany
"4Brain, Department of Neurology, Ghent University Hospital","Corneel Heymanslaan 10, 9000 Gent, Belgium",Belgium
A.P. Møller - Mærsk A/S,"Esplanaden 50, 1098 København K",Denmark
AAL Association,"Rdpt Robert Schuman 2, 1040 Bruxelles, Belgium",Belgium
Aalborg University,"Fredrik Bajers Vej 7K, 9220 Aalborg Øst",Denmark
Aalborg Zoo,"Mølleparkvej 63, 9000 Aalborg",Denmark
Aalto University,"Otakaari 24, 02150 Espoo, Finland",Finland
Aarhus kommune,"Rådhuspladsen 2, 8000 Aarhus, Denmark",Denmark
Aarhus School of Architecture,"Exners Plads 7, 8000 Aarhus",Denmark
Aarhus Universitetshospital,"Palle Juul-Jensens Blvd. 99, 8200 Aarhus, Denmark",Denmark
Aarhus University,"Nordre Ringgade 1, 8000 Aarhus Centrum",Denmark
ABB,"Zürich, Switzerland",Switzerland
ABB Corporate Research Center,"Starowiślna 13A, 31-038 Kraków, Poland",Poland
ABB Corporate Research Center Germany,"Segelhofstrasse 30-34, 5405 Baden, Switzerland",Switzerland
Abertay University,"Bell St, Dundee DD1 1HG, UK",UK
"Academic Center for Epileptology Kempenhaeghe and Maastricht University Medical Center, Heeze and Maastricht","P. Debyelaan 25, 6229 HX Maastricht, Netherlands",Netherlands
Accenture A/S,"Bohrsgade 35, Copenhagen V, 1799 København",Denmark
Accenture Bengaluru Innovation Hub,"Park, Building 14, Pritech Rd, Adarsh Palm Retreat, Bellandur, Bengaluru, Karnataka 560103, India",India
Access Microfinance Holding AG,"Berlin, Germany",Germany
ACE Centre,"Hollinwood Business Centre, Albert St, Hollinwood, Failsworth, Oldham OL8 3QL, UK",UK
Adam Mickiewicz University in Poznań,"Wieniawskiego 1, 61-712 Poznań, Poland",Poland
Addis Ababa University,"NBH1, 4killo King George VI St, Addis Ababa, Ethiopia",Ethiopia
Agribuddy Ltd.,"48 Cameron Rd, Tsim Sha Tsui, Hong Kong, China",China
"AHO The Oslo School of Architecture and Design, Norway","Maridalsveien 29, 0175 Oslo, Norway",Norway
AI Denmark,"Gregersensvej 1, 2630 Taastrup, Denmark",Denmark
Airbnb,"San Francisco, California, USA",USA
Aix-Marseille University,"Jardin du Pharo, 58 Boulevard Charles Livon, 13007 Marseille, France",France
Al Ain University of Science and Technology,"Al Jimi, Near Al Ain Municipality, Al Ain - Abu Dhabi - United Arab Emirates",United Arab Emirates
Al Jazeera Media Network,"Doha, Qatar",Qatar
Alexander von Humboldt Institut für Internet und Gesellschaft,"Französische Str. 9, 10117 Berlin, Germany",Germany
Alexandra Instituttet A/S,"Åbogade 34, 8200 Aarhus",Denmark
Alexandria University,"22 El-Gaish Rd, Al Azaritah WA Ash Shatebi, Bab Sharqi, Alexandria Governorate 5424041, Egypt",Egypt
Alfréd Rényi Institute of Mathematics,"Budapest, Reáltanoda utca 13-15, 1053 Hungary",Hungary
Alibaba Group,"Hangzhou, China",China
Allen Institute for AI,"2100 N 34th St, Seattle, WA 98103, USA",USA
Amador Bioscience,"Kempische Steenweg 293/16, 3500 Hasselt, Belgium",Belgium
"Amazon.com, Inc.","Seattle, Washington, USA",USA
Amrita Vishwa Vidyapeetham,"Amrita University, Amritanagar, Ettimadai, Tamil Nadu 641112, India",India
Ange Optimization,"Tagensvej 188, 2400 København",Denmark
"Applied research, technology and innovation","Forskningsveien 1, 0373 Oslo, Norway",Norway
Aristotle University of Thessaloniki,"Thessaloniki 541 24, Greece",Greece
Arizona State University,"1151 S Forest Ave, Tempe, AZ, USA",USA
Artanim Foundation,"Chem. du Grand-Puits 40, 1217 Meyrin, Switzerland",Switzerland
Arup,"London, UK",UK
ASPL Pty Ltd,"14b Loch Ave, St Kilda East VIC 3183, Australia",Australia
Association of Electronic Waste Producer Responsibility Organisations,"Blvd Auguste Reyers 80, 1030 Brussels, Belgium",Belgium
AstraZeneca,"Johanne Møllers Passage 1, 4, 1799 København VKøbenhavn",Denmark
Athens University of Economics and Business,"28is Oktovriou 76, Athina 104 34, Greece",Greece
Auckland University of Technology,"55 Wellesley Street East, Auckland CBD, Auckland 1010, New Zealand",New Zealand
Audencia School of Management and Communication,"8 Rte de la Jonelière, 44300 Nantes, France",France
Australian National University,"Canberra ACT 2601, Australia",Australia
Austrian Institute for Applied Telecommunications,"Ungargasse 64-66, 1030 Wien, Austria",Austria
Austrian Science Fund,"Georg-Coch-Platz 2, 1010 Wien, Austria",Austria
Autodesk Inc,"San Francisco, California, USA",USA
Autonomous University of Barcelona,"Plaça Cívica, 08193 Bellaterra, Barcelona, Spain",Spain
Avanade Norway AS,"Rådhusgata 27, 0158 Oslo, Norway",Norway
Babeș-Bolyai University,"Strada Mihail Kogălniceanu 1, Cluj-Napoca 400347, Romania",Romania
Banard College,"3009 Broadway, New York, NY 10027, USA",USA
Bangor University,"Gwynedd LL57 2DG, UK",UK
Bar-Ilan University,"Ramat Gan, 5290002, Israel",Israel
BBC Research & Development,"The Lighthouse, 201 Wood Ln, London W12 7TQ, UK",UK
Beijing Institute of Technology,"China, Bei Jing Shi, Haidian District, 魏公村中关村大街5号 邮政编码: 100811",China
Beijing Language and Culture University,"15 Xueyuan Road, Haidian District, Beijing 100083, China",China
Beijing University of Posts and Telecommunications,"10 Xitucheng Rd, Beitaipingzhuang, Haidian District, Beijing, China, 100876",China
Berliner Hochschule für Technik,"Luxemburger Str. 10, 13353 Berlin, Germany",Germany
Bern University of Applied Sciences,"Brückenstrasse 73, 3005 Bern, Switzerland",Switzerland
Beskæftigelsesministeriet,"Holmens Kanal 20, 1060 København, Denmark",Denmark
Beuth University of Applied Sciences Berlin,"Luxemburger Str. 10, 13353 Berlin, Germany",Germany
Bharati Vidyapeeth,"Bharati Vidyapeeth Bhavan, Lal Bahadur Shastri Rd, Joshi Wada, Sadashiv Peth, Pune, Maharashtra 411030, India",India
BI Norwegian Business School,"Nydalsveien 37, 0484 Oslo, Norway",Norway
Bielefeld University of Applied Sciences,"Hochschule Bielefeld, Interaktion 1, 33619 Bielefeld, Germany",Germany
Bilkent University,"Üniversiteler, 06800 Çankaya/Ankara, Türkiye",Turkey
Biomediq A/S,"Fruebjergvej 3, 2100 København, Denmark",Denmark
Blackwood Seven Danmark A/S,"Livjægergade 17B, 3. floor, 2100 København",Denmark
