Denmark,USA,Germany,UK,Sweden,Italy,France,Netherlands,Norway,Australia
77.0,13.0,15.0,10.0,11.0,2.0,6.0,1.0,3.0,3.0
86.0,21.0,11.0,18.0,21.0,6.0,12.0,3.0,10.0,2.0
66.0,14.0,8.0,21.0,12.0,4.0,3.0,1.0,4.0,5.0
48.0,21.0,14.0,24.0,19.0,6.0,2.0,9.0,5.0,5.0
50.0,35.0,23.0,14.0,19.0,6.0,6.0,5.0,5.0,8.0
57.0,46.0,40.0,30.0,29.0,11.0,10.0,10.0,9.0,14.0
39.0,36.0,37.0,33.0,30.0,11.0,6.0,16.0,11.0,6.0
57.0,51.0,44.0,37.0,35.0,15.0,7.0,16.0,9.0,11.0
73.0,67.0,49.0,53.0,34.0,20.0,9.0,20.0,7.0,8.0
97.0,52.0,66.0,57.0,29.0,19.0,26.0,6.0,11.0,14.0
73.0,67.0,89.0,53.0,21.0,14.0,16.0,12.0,14.0,11.0
